,seiten
2,62
3,63
4,62
5,63
6,62
7,62
8,
9,48
10,78
11,75
12,78
13,69
14,78
15,
16,96
17,80
18,79
19,96
20,79
21,80
22,96
23,80
24,96
25,80
26,95
27,
28,80
29,95
30,79
31,96
32,96
33,94
34,94
35,96
36,80
37,80
38,96
39,96
40,96
41,111
42,96
43,96
44,96
45,96
46,96
47,112
48,95
49,95
50,96
51,112
52,96
53,96
54,96
55,96
56,112
57,128
58,96
59,93
60,95
61,112
62,96
63,96
64,80
65,96
66,96
67,94
68,96
69,96
70,95
71,96
72,96
73,95
74,96
75,96
76,96
77,112
78,94
79,96
80,96
81,96
82,96
83,112
84,96
85,96
86,112
87,95
88,96
89,96
90,96
91,94
92,112
93,96
94,96
95,
96,47
97,47
98,47
99,
100,
101,
102,
103,
104,
105,
106,
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,
201,
202,
203,
204,
227,
228,
258,
259,
260,
261,
262,
263,
264,
265,
266,
267,
268,
269,
270,
273,
274,
277,
278,
295,
296,
297,
298,
299,
300,
301,
302,
303,
304,32
305,
355,32
357,32
358,32
359,32
360,32
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,64
372,64
373,
374,
375,64
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
715,
716,
717,64
718,64
719,64
720,80
721,80
722,79
723,80
724,80
725,64
726,64
727,64
728,64
729,64
730,64
731,64
732,64
733,63
734,64
735,64
736,64
737,64
738,64
739,64
740,64
741,64
742,64
743,63
744,63
745,64
746,64
747,64
748,64
749,64
750,64
751,64
752,64
753,63
754,64
755,63
756,61
757,63
758,64
759,64
760,64
761,64
762,64
763,64
764,
765,64
766,64
767,64
768,64
769,64
770,64
771,64
772,63
773,64
774,64
775,63
776,64
777,63
778,64
779,64
780,64
781,61
782,64
783,64
784,61
785,64
786,64
787,58
788,61
789,63
790,61
791,63
792,64
793,64
794,59
795,61
796,63
797,64
798,63
799,68
800,63
801,64
802,64
803,64
804,64
805,64
806,64
807,64
808,64
809,64
810,64
811,64
812,69
813,64
814,63
815,64
816,64
817,63
818,64
819,63
820,63
821,
822,64
823,63
824,64
825,64
826,64
827,63
828,64
829,64
830,64
831,64
832,64
833,64
